"","Term","Home Value","Principle","Annual Interest Rate","Change in Annual Interest Rate","% Change in Annual Interest Rate","Monthly Payment","Change in Monthly Payment","% Change in Monthly Payment","Total Amount Paid","Change in Total Amount Paid","% Change in Total Amount Paid","Total Interest","Change in Total Interest","% Change in Total Interest"
"15",15,6e+05,540000,3.125,0.125,4.16666666666667,3761.69045341117,32.5495959100431,0.872844366942318,677104.281614011,5858.92726380774,0.872844366942316,137104.281614011,5858.92726380774,4.46410259076622
"16",15,6e+05,540000,3.25,0.25,8.33333333333333,3794.41135216736,65.2704946662307,1.75028236155091,682994.043390125,11748.6890399216,1.75028236155093,142994.043390125,11748.6890399216,8.95169897486235
"17",15,6e+05,540000,3.375,0.375,12.5,3827.30322280312,98.1623653019856,2.63230510868295,688914.580104561,17669.2257543574,2.63230510868296,148914.580104561,17669.2257543574,13.4627437609795
"18",15,6e+05,540000,3.5,0.5,16.6666666666667,3860.36572325315,131.224865752019,3.5189034355745,694865.830185567,23620.4758353635,3.51890343557449,154865.830185567,23620.4758353635,17.9971900356463
"19",15,7e+05,630000,2.5,-0.5,-16.6666666666667,4200.77201675665,-149.892316994666,-3.44527422701495,756138.963016197,-26980.6170590398,-3.44527422701494,126138.963016197,-26980.6170590398,-17.6206185033831
"20",15,7e+05,630000,2.625,-0.375,-12.5,4237.94353303857,-112.720800712752,-2.59088709368575,762829.835946942,-20289.7441282953,-2.59088709368575,132829.835946942,-20289.7441282953,-13.2509141667746
"21",15,7e+05,630000,2.75,-0.25,-8.33333333333333,4275.31631578382,-75.3480179674962,-1.7318738516085,769556.936841088,-13562.6432341493,-1.7318738516085,139556.936841088,-13562.6432341493,-8.8575499145734
"22",15,7e+05,630000,2.875,-0.125,-4.16666666666667,4312.89003159338,-37.774302157939,-0.868242163958636,776320.205686808,-6799.37438842899,-0.868242163958631,146320.205686808,-6799.37438842899,-4.44056493956425
"23",15,7e+05,630000,3,0,0,4350.66433375132,0,0,783119.580075237,0,0,153119.580075237,0,0
"24",15,7e+05,630000,3.125,0.125,4.16666666666667,4388.63886231304,37.9745285617173,0.872844366942327,789954.995216346,6835.41514110914,0.872844366942331,159954.995216346,6835.41514110914,4.4641025907663
"25",15,7e+05,630000,3.25,0.25,8.33333333333333,4426.81324419525,76.1489104439361,1.75028236155092,796826.383955146,13706.8038799085,1.75028236155092,166826.383955146,13706.8038799085,8.95169897486233
"26",15,7e+05,630000,3.375,0.375,12.5,4465.1870932703,114.522759518984,2.63230510868296,803733.676788654,20614.096713417,2.63230510868296,173733.676788654,20614.096713417,13.4627437609795
"27",15,7e+05,630000,3.5,0.5,16.6666666666667,4503.76001046201,153.09567671069,3.51890343557451,810676.801883161,27557.2218079242,3.51890343557451,180676.801883161,27557.2218079242,17.9971900356464
"28",15,750000,675000,2.5,-0.5,-16.6666666666667,4500.8271608107,-160.598911065714,-3.44527422701496,810148.888945926,-28907.8039918286,-3.44527422701497,135148.888945926,-28907.8039918286,-17.6206185033832
"29",15,750000,675000,2.625,-0.375,-12.5,4540.65378539846,-120.77228647795,-2.59088709368578,817317.681371723,-21739.011566031,-2.59088709368578,142317.681371723,-21739.011566031,-13.2509141667747
"30",15,750000,675000,2.75,-0.25,-8.33333333333333,4580.69605262552,-80.7300192508892,-1.73187385160851,824525.289472594,-14531.4034651602,-1.73187385160852,149525.289472594,-14531.4034651602,-8.8575499145735
"31",15,750000,675000,2.875,-0.125,-4.16666666666667,4620.95360527862,-40.4724665977928,-0.868242163958658,831771.648950152,-7285.04398760269,-0.868242163958656,156771.648950152,-7285.04398760269,-4.44056493956437
"32",15,750000,675000,3,0,0,4661.42607187641,0,0,839056.692937754,0,0,164056.692937754,0,0
"33",15,750000,675000,3.125,0.125,4.16666666666667,4702.11306676397,40.6869948875537,0.872844366942316,846380.352017514,7323.65907975961,0.872844366942309,171380.352017514,7323.65907975961,4.46410259076618
"34",15,750000,675000,3.25,0.25,8.33333333333333,4743.0141902092,81.5881183327883,1.75028236155091,853742.554237656,14685.8612999019,1.7502823615509,178742.554237656,14685.8612999019,8.95169897486224
"35",15,750000,675000,3.375,0.375,12.5,4784.12902850389,122.702956627481,2.63230510868294,861143.225130701,22086.5321929465,2.63230510868293,186143.225130701,22086.5321929465,13.4627437609793
"36",15,750000,675000,3.5,0.5,16.6666666666667,4825.45715406644,164.031082190025,3.51890343557451,868582.287731959,29525.5947942045,3.5189034355745,193582.287731959,29525.5947942045,17.9971900356464
"37",15,8e+05,720000,2.5,-0.5,-16.6666666666667,4800.88230486475,-171.305505136761,-3.44527422701495,864158.814875654,-30834.990924617,-3.44527422701496,144158.814875654,-30834.990924617,-17.6206185033832
"38",15,8e+05,720000,2.625,-0.375,-12.5,4843.36403775836,-128.823772243146,-2.59088709368576,871805.526796505,-23188.2790037664,-2.59088709368578,151805.526796505,-23188.2790037664,-13.2509141667747
"39",15,8e+05,720000,2.75,-0.25,-8.33333333333333,4886.07578946723,-86.1120205342813,-1.7318738516085,879493.6421041,-15500.1636961708,-1.73187385160851,159493.6421041,-15500.1636961708,-8.85754991457347
"40",15,8e+05,720000,2.875,-0.125,-4.16666666666667,4929.01717896386,-43.1706310376458,-0.868242163958659,887223.092213495,-7770.71358677628,-0.868242163958665,167223.092213495,-7770.71358677628,-4.44056493956442
"41",15,8e+05,720000,3,0,0,4972.18781000151,0,0,894993.805800271,0,0,174993.805800271,0,0
"42",15,8e+05,720000,3.125,0.125,4.16666666666667,5015.5872712149,43.3994612133911,0.872844366942324,902805.708818682,7811.90301841032,0.872844366942316,182805.708818682,7811.90301841032,4.46410259076622
"43",15,8e+05,720000,3.25,0.25,8.33333333333333,5059.21513622315,87.0273262216406,1.7502823615509,910658.724520166,15664.9187198952,1.75028236155089,190658.724520166,15664.9187198952,8.95169897486218
"44",15,8e+05,720000,3.375,0.375,12.5,5103.07096373749,130.88315373598,2.63230510868294,918552.773472748,23558.9676724764,2.63230510868294,198552.773472748,23558.9676724764,13.4627437609794
"45",15,8e+05,720000,3.5,0.5,16.6666666666667,5147.15429767087,174.96648766936,3.5189034355745,926487.773580756,31493.9677804846,3.51890343557449,206487.773580756,31493.9677804846,17.9971900356463
"46",15,9e+05,810000,2.5,-0.5,-16.6666666666667,5400.99259297284,-192.718693278856,-3.44527422701495,972178.666735111,-34689.3647901941,-3.44527422701495,162178.666735111,-34689.3647901941,-17.6206185033831
"47",15,9e+05,810000,2.625,-0.375,-12.5,5448.78454247816,-144.926743773539,-2.59088709368576,980781.217646068,-26086.8138792369,-2.59088709368575,170781.217646068,-26086.8138792369,-13.2509141667746
