"","Term","Home Value","Principle","Annual Interest Rate","Change in Annual Interest Rate","% Change in Annual Interest Rate","Monthly Payment","Change in Monthly Payment","% Change in Monthly Payment","Total Amount Paid","Change in Total Amount Paid","% Change in Total Amount Paid","Total Interest","Change in Total Interest","% Change in Total Interest"
"1",15,5e+05,475000,2.5,-0.5,-16.6666666666667,3167.24874279271,-113.014048527724,-3.44527422701494,570104.773702689,-20342.5287349903,-3.44527422701494,95104.7737026886,-20342.5287349903,-17.6206185033831
"2",15,5e+05,475000,2.625,-0.375,-12.5,3195.27488602114,-84.9879052992978,-2.59088709368577,575149.479483805,-15297.8229538737,-2.59088709368578,100149.479483805,-15297.8229538737,-13.2509141667747
"3",15,5e+05,475000,2.75,-0.25,-8.33333333333333,3223.45277777352,-56.8100135469217,-1.7318738516085,580221.499999233,-10225.802438446,-1.73187385160851,105221.499999233,-10225.802438446,-8.85754991457344
"4",15,5e+05,475000,2.875,-0.125,-4.16666666666667,3251.78216667755,-28.4806246428911,-0.868242163958655,585320.790001958,-5126.51243572042,-0.868242163958657,110320.790001958,-5126.51243572042,-4.44056493956438
"5",15,5e+05,475000,3,0,0,3280.26279132044,0,0,590447.302437679,0,0,115447.302437679,0,0
"6",15,5e+05,475000,3.125,0.125,4.16666666666667,3308.89438031538,28.6315889949456,0.872844366942326,595600.988456769,5153.68601909024,0.872844366942332,120600.988456769,5153.68601909024,4.46410259076631
"7",15,5e+05,475000,3.25,0.25,8.33333333333333,3337.67665236944,57.4138610489995,1.75028236155092,600781.797426499,10334.4949888198,1.7502823615509,125781.797426499,10334.4949888198,8.95169897486224
"8",15,5e+05,475000,3.375,0.375,12.5,3366.60931635459,86.3465250341537,2.63230510868295,605989.676943827,15542.3745061477,2.63230510868295,130989.676943827,15542.3745061477,13.4627437609794
"9",15,5e+05,475000,3.5,0.5,16.6666666666667,3395.69207138009,115.429280059647,3.51890343557451,611224.572848415,20777.2704107364,3.5189034355745,136224.572848415,20777.2704107364,17.9971900356463
"10",15,6e+05,570000,2.5,-0.5,-16.6666666666667,3800.69849135126,-135.616858233268,-3.44527422701493,684125.728443226,-24411.0344819883,-3.44527422701493,114125.728443226,-24411.0344819883,-17.6206185033831
"11",15,6e+05,570000,2.625,-0.375,-12.5,3834.32986322537,-101.985486359157,-2.59088709368577,690179.375380566,-18357.3875446483,-2.59088709368576,120179.375380566,-18357.3875446483,-13.2509141667746
"12",15,6e+05,570000,2.75,-0.25,-8.33333333333333,3868.14333332822,-68.1720162563061,-1.7318738516085,696265.79999908,-12270.962926135,-1.73187385160849,126265.79999908,-12270.962926135,-8.85754991457336
"13",15,6e+05,570000,2.875,-0.125,-4.16666666666667,3902.13860001306,-34.1767495714689,-0.868242163958643,702384.94800235,-6151.81492286432,-0.868242163958631,132384.94800235,-6151.81492286432,-4.44056493956424
"14",15,6e+05,570000,3,0,0,3936.31534958453,0,0,708536.762925215,0,0,138536.762925215,0,0
"15",15,6e+05,570000,3.125,0.125,4.16666666666667,3970.67325637846,34.3579067939345,0.872844366942322,714721.186148123,6184.42322290828,0.872844366942332,144721.186148123,6184.42322290828,4.46410259076631
"16",15,6e+05,570000,3.25,0.25,8.33333333333333,4005.21198284333,68.8966332587993,1.75028236155092,720938.156911799,12401.3939865839,1.75028236155092,150938.156911799,12401.3939865839,8.95169897486235
"17",15,6e+05,570000,3.375,0.375,12.5,4039.93117962551,103.615830040985,2.63230510868295,727187.612332592,18650.8494073773,2.63230510868296,157187.612332592,18650.8494073773,13.4627437609795
"18",15,6e+05,570000,3.5,0.5,16.6666666666667,4074.8304856561,138.515136071576,3.5189034355745,733469.487418098,24932.7244928838,3.51890343557451,163469.487418098,24932.7244928838,17.9971900356464
"19",15,7e+05,665000,2.5,-0.5,-16.6666666666667,4434.1482399098,-158.219667938814,-3.44527422701496,798146.683183764,-28479.5402289866,-3.44527422701497,133146.683183764,-28479.5402289866,-17.6206185033832
"20",15,7e+05,665000,2.625,-0.375,-12.5,4473.3848404296,-118.983067419017,-2.59088709368577,805209.271277327,-21416.9521354232,-2.59088709368579,140209.271277327,-21416.9521354232,-13.2509141667748
"21",15,7e+05,665000,2.75,-0.25,-8.33333333333333,4512.83388888292,-79.5340189656908,-1.73187385160851,812310.099998926,-14316.1234138242,-1.73187385160849,147310.099998926,-14316.1234138242,-8.85754991457337
"22",15,7e+05,665000,2.875,-0.125,-4.16666666666667,4552.49503334857,-39.8728745000471,-0.868242163958645,819449.106002742,-7177.11741000845,-0.86824216395864,154449.106002742,-7177.11741000845,-4.44056493956429
"23",15,7e+05,665000,3,0,0,4592.36790784861,0,0,826626.223412751,0,0,161626.223412751,0,0
"24",15,7e+05,665000,3.125,0.125,4.16666666666667,4632.45213244154,40.0842245929234,0.872844366942318,833841.383839477,7215.1604267261,0.872844366942304,168841.383839477,7215.1604267261,4.46410259076616
"25",15,7e+05,665000,3.25,0.25,8.33333333333333,4672.74731331721,80.3794054685986,1.75028236155091,841094.516397098,14468.2929843477,1.7502823615509,176094.516397098,14468.2929843477,8.9516989748622
"26",15,7e+05,665000,3.375,0.375,12.5,4713.25304289643,120.885135047815,2.63230510868295,848385.547721357,21759.3243086068,2.63230510868295,183385.547721357,21759.3243086068,13.4627437609795
"27",15,7e+05,665000,3.5,0.5,16.6666666666667,4753.96889993212,161.600992083506,3.5189034355745,855714.401987782,29088.178575031,3.5189034355745,190714.401987782,29088.178575031,17.9971900356463
"28",15,750000,712500,2.5,-0.5,-16.6666666666667,4750.87311418907,-169.521072791586,-3.44527422701495,855157.160554033,-30513.7931024856,-3.44527422701495,142657.160554033,-30513.7931024856,-17.6206185033832
"29",15,750000,712500,2.625,-0.375,-12.5,4792.91232903171,-127.481857948947,-2.59088709368578,862724.219225708,-22946.7344308104,-2.59088709368577,150224.219225708,-22946.7344308104,-13.2509141667747
"30",15,750000,712500,2.75,-0.25,-8.33333333333333,4835.17916666027,-85.2150203203828,-1.7318738516085,870332.249998849,-15338.703657669,-1.73187385160852,157832.249998849,-15338.703657669,-8.85754991457348
"31",15,750000,712500,2.875,-0.125,-4.16666666666667,4877.67325001632,-42.720936964336,-0.868242163958641,877981.185002938,-7689.76865358045,-0.868242163958637,165481.185002938,-7689.76865358045,-4.44056493956427
"32",15,750000,712500,3,0,0,4920.39418698066,0,0,885670.953656518,0,0,173170.953656518,0,0
"33",15,750000,712500,3.125,0.125,4.16666666666667,4963.34157047308,42.9473834924174,0.872844366942308,893401.482685154,7730.52902863524,0.872844366942319,180901.482685154,7730.52902863524,4.46410259076624
"34",15,750000,712500,3.25,0.25,8.33333333333333,5006.51497855416,86.1207915734985,1.75028236155091,901172.696139748,15501.7424832297,1.7502823615509,188672.696139748,15501.7424832297,8.95169897486224
"35",15,750000,712500,3.375,0.375,12.5,5049.91397453189,129.519787551231,2.63230510868296,908984.51541574,23313.5617592217,2.63230510868297,196484.51541574,23313.5617592217,13.4627437609796
"36",15,750000,712500,3.5,0.5,16.6666666666667,5093.53810707013,173.14392008947,3.5189034355745,916836.859272623,31165.9056161046,3.51890343557449,204336.859272623,31165.9056161046,17.9971900356463
"37",15,8e+05,760000,2.5,-0.5,-16.6666666666667,5067.59798846834,-180.822477644359,-3.44527422701494,912167.637924302,-32548.0459759845,-3.44527422701495,152167.637924302,-32548.0459759845,-17.6206185033831
"38",15,8e+05,760000,2.625,-0.375,-12.5,5112.43981763382,-135.980648478877,-2.59088709368578,920239.167174088,-24476.5167261979,-2.59088709368578,160239.167174088,-24476.5167261979,-13.2509141667748
"39",15,8e+05,760000,2.75,-0.25,-8.33333333333333,5157.52444443763,-90.8960216750747,-1.7318738516085,928354.399998773,-16361.2839015134,-1.7318738516085,168354.399998773,-16361.2839015134,-8.85754991457338
"40",15,8e+05,760000,2.875,-0.125,-4.16666666666667,5202.85146668408,-45.5689994286258,-0.868242163958655,936513.264003134,-8202.41989715258,-0.868242163958647,176513.264003134,-8202.41989715258,-4.44056493956433
"41",15,8e+05,760000,3,0,0,5248.4204661127,0,0,944715.683900286,0,0,184715.683900286,0,0
"42",15,8e+05,760000,3.125,0.125,4.16666666666667,5294.23100850461,45.8105423919123,0.872844366942316,952961.58153083,8245.89763054415,0.872844366942308,192961.58153083,8245.89763054415,4.46410259076618
"43",15,8e+05,760000,3.25,0.25,8.33333333333333,5340.2826437911,91.8621776783993,1.75028236155092,961250.875882398,16535.1919821119,1.75028236155092,201250.875882398,16535.1919821119,8.95169897486235
"44",15,8e+05,760000,3.375,0.375,12.5,5386.57490616735,138.154440054645,2.63230510868294,969583.483110122,24867.7992098363,2.63230510868295,209583.483110122,24867.7992098363,13.4627437609794
"45",15,8e+05,760000,3.5,0.5,16.6666666666667,5433.10731420814,184.686848095435,3.51890343557451,977959.316557465,33243.6326571783,3.5189034355745,217959.316557465,33243.6326571783,17.9971900356464
"46",15,9e+05,855000,2.5,-0.5,-16.6666666666667,5701.04773702689,-203.425287349903,-3.44527422701493,1026188.59266484,-36616.5517229824,-3.44527422701493,171188.592664839,-36616.5517229824,-17.6206185033831
"47",15,9e+05,855000,2.625,-0.375,-12.5,5751.49479483805,-152.978229538734,-2.59088709368574,1035269.06307085,-27536.0813169722,-2.59088709368574,180269.06307085,-27536.0813169722,-13.2509141667745
"48",15,9e+05,855000,2.75,-0.25,-8.33333333333333,5802.21499999233,-102.258024384458,-1.73187385160848,1044398.69999862,-18406.4443892024,-1.73187385160848,189398.69999862,-18406.4443892024,-8.85754991457328
"49",15,9e+05,855000,2.875,-0.125,-4.16666666666667,5853.20790001959,-51.2651243572027,-0.868242163958632,1053577.42200353,-9227.72238429659,-0.868242163958642,198577.422003525,-9227.72238429659,-4.4405649395643
"50",15,9e+05,855000,3,0,0,5904.47302437679,0,0,1062805.14438782,0,0,207805.144387822,0,0
"51",15,9e+05,855000,3.125,0.125,4.16666666666667,5956.00988456769,51.5368601909031,0.872844366942345,1072081.77922218,9276.63483436243,0.872844366942332,217081.779222184,9276.63483436243,4.46410259076631
"52",15,9e+05,855000,3.25,0.25,8.33333333333333,6007.81797426499,103.3449498882,1.75028236155094,1081407.2353677,18602.0909798758,1.75028236155091,226407.235367698,18602.0909798758,8.95169897486229
"53",15,9e+05,855000,3.375,0.375,12.5,6059.89676943827,155.423745061477,2.63230510868296,1090781.41849889,27976.274111066,2.63230510868297,235781.418498888,27976.274111066,13.4627437609795
"54",15,9e+05,855000,3.5,0.5,16.6666666666667,6112.24572848415,207.772704107365,3.51890343557451,1100204.23112715,37399.0867393257,3.51890343557451,245204.231127148,37399.0867393257,17.9971900356464
"55",15,1e+06,950000,2.5,-0.5,-16.6666666666667,6334.49748558543,-226.028097055448,-3.44527422701494,1140209.54740538,-40685.0574699806,-3.44527422701494,190209.547405377,-40685.0574699806,-17.6206185033831
"56",15,1e+06,950000,2.625,-0.375,-12.5,6390.54977204228,-169.975810598596,-2.59088709368577,1150298.95896761,-30595.6459077473,-2.59088709368578,200298.95896761,-30595.6459077473,-13.2509141667747
"57",15,1e+06,950000,2.75,-0.25,-8.33333333333333,6446.90555554703,-113.620027093843,-1.7318738516085,1160442.99999847,-20451.6048768919,-1.73187385160851,210442.999998466,-20451.6048768919,-8.85754991457344
"58",15,1e+06,950000,2.875,-0.125,-4.16666666666667,6503.56433335509,-56.9612492857823,-0.868242163958655,1170641.58000392,-10253.0248714408,-0.868242163958657,220641.580003917,-10253.0248714408,-4.44056493956438
"59",15,1e+06,950000,3,0,0,6560.52558264088,0,0,1180894.60487536,0,0,230894.604875358,0,0
"60",15,1e+06,950000,3.125,0.125,4.16666666666667,6617.78876063077,57.2631779898911,0.872844366942326,1191201.97691354,10307.3720381805,0.872844366942332,241201.976913538,10307.3720381805,4.46410259076631
"61",15,1e+06,950000,3.25,0.25,8.33333333333333,6675.35330473888,114.827722097999,1.75028236155092,1201563.594853,20668.9899776396,1.7502823615509,251563.594852997,20668.9899776396,8.95169897486224
"62",15,1e+06,950000,3.375,0.375,12.5,6733.21863270918,172.693050068307,2.63230510868295,1211979.35388765,31084.7490122954,2.63230510868295,261979.353887653,31084.7490122954,13.4627437609794
"63",15,1e+06,950000,3.5,0.5,16.6666666666667,6791.38414276017,230.858560119294,3.51890343557451,1222449.14569683,41554.5408214729,3.5189034355745,272449.145696831,41554.5408214729,17.9971900356463
"64",30,5e+05,475000,2.5,-0.5,-16.6666666666667,1876.82426938426,-125.794890830615,-6.28151839000272,675656.736978333,-45286.1606990215,-6.28151839000272,200656.736978333,-45286.1606990215,-18.4132825654641
