"","Term","Home Value","Principle","Annual Interest Rate","Change in Annual Interest Rate","% Change in Annual Interest Rate","Monthly Payment","Change in Monthly Payment","% Change in Monthly Payment","Total Amount Paid","Change in Total Amount Paid","% Change in Total Amount Paid","Total Interest","Change in Total Interest","% Change in Total Interest"
"1",15,5e+05,462500,2.5,-0.5,-16.6666666666667,3083.90009166659,-110.0399946191,-3.44527422701495,555102.016499986,-19807.199031438,-3.44527422701495,92602.0164999862,-19807.199031438,-17.6206185033832
"2",15,5e+05,462500,2.625,-0.375,-12.5,3111.18870481006,-82.7513814756321,-2.59088709368577,560013.96686581,-14895.2486656138,-2.59088709368578,97513.9668658103,-14895.2486656138,-13.2509141667747
"3",15,5e+05,462500,2.75,-0.25,-8.33333333333333,3138.62507309527,-55.315013190424,-1.73187385160851,564952.513157148,-9956.70237427624,-1.73187385160849,102452.513157148,-9956.70237427624,-8.85754991457336
"4",15,5e+05,462500,2.875,-0.125,-4.16666666666667,3166.20895176498,-27.7311345207099,-0.868242163958659,569917.611317696,-4991.60421372775,-0.868242163958653,107417.611317696,-4991.60421372775,-4.44056493956436
"5",15,5e+05,462500,3,0,0,3193.94008628569,0,0,574909.215531424,0,0,112409.215531424,0,0
"6",15,5e+05,462500,3.125,0.125,4.16666666666667,3221.81821241235,27.8781261266572,0.872844366942316,579927.278234222,5018.06270279828,0.872844366942314,117427.278234222,5018.06270279828,4.46410259076622
"7",15,5e+05,462500,3.25,0.25,8.33333333333333,3249.84305625445,55.9029699687621,1.7502823615509,584971.750125801,10062.5345943773,1.75028236155092,122471.750125801,10062.5345943773,8.95169897486232
"8",15,5e+05,462500,3.375,0.375,12.5,3278.01433434526,84.0742480595709,2.63230510868295,590042.580182147,15133.3646507228,2.63230510868296,127542.580182147,15133.3646507228,13.4627437609795
"9",15,5e+05,462500,3.5,0.5,16.6666666666667,3306.33175371219,112.391667426498,3.51890343557449,595139.715668194,20230.5001367696,3.51890343557449,132639.715668194,20230.5001367696,17.9971900356463
"10",15,6e+05,555000,2.5,-0.5,-16.6666666666667,3700.68010999991,-132.047993542919,-3.44527422701494,666122.419799984,-23768.6388377254,-3.44527422701492,111122.419799984,-23768.6388377254,-17.620618503383
"11",15,6e+05,555000,2.625,-0.375,-12.5,3733.42644577207,-99.3016577707581,-2.59088709368576,672016.760238972,-17874.2983987364,-2.59088709368575,117016.760238972,-17874.2983987364,-13.2509141667746
"12",15,6e+05,555000,2.75,-0.25,-8.33333333333333,3766.35008771432,-66.3780158285085,-1.7318738516085,677943.015788577,-11948.0428491314,-1.73187385160848,122943.015788577,-11948.0428491314,-8.85754991457329
"13",15,6e+05,555000,2.875,-0.125,-4.16666666666667,3799.45074211798,-33.2773614248513,-0.868242163958642,683901.133581236,-5989.92505647312,-0.868242163958626,128901.133581236,-5989.92505647312,-4.44056493956422
"14",15,6e+05,555000,3,0,0,3832.72810354283,0,0,689891.058637709,0,0,134891.058637709,0,0
"15",15,6e+05,555000,3.125,0.125,4.16666666666667,3866.18185489482,33.453751351989,0.872844366942326,695912.733881067,6021.67524335813,0.872844366942341,140912.733881067,6021.67524335813,4.46410259076636
"16",15,6e+05,555000,3.25,0.25,8.33333333333333,3899.81166750534,67.0835639625147,1.75028236155091,701966.100150962,12075.0415132528,1.75028236155093,146966.100150962,12075.0415132528,8.95169897486236
"17",15,6e+05,555000,3.375,0.375,12.5,3933.61720121431,100.889097671486,2.63230510868297,708051.096218576,18160.0375808675,2.63230510868298,153051.096218576,18160.0375808675,13.4627437609796
"18",15,6e+05,555000,3.5,0.5,16.6666666666667,3967.59810445463,134.870000911798,3.51890343557451,714167.658801833,24276.6001641238,3.51890343557453,159167.658801833,24276.6001641238,17.9971900356465
"19",15,7e+05,647500,2.5,-0.5,-16.6666666666667,4317.46012833323,-154.05599246674,-3.44527422701496,777142.823099981,-27730.0786440133,-3.44527422701496,129642.823099981,-27730.0786440133,-17.6206185033832
"20",15,7e+05,647500,2.625,-0.375,-12.5,4355.66418673408,-115.851934065885,-2.59088709368577,784019.553612135,-20853.3481318593,-2.59088709368577,136519.553612135,-20853.3481318593,-13.2509141667747
"21",15,7e+05,647500,2.75,-0.25,-8.33333333333333,4394.07510233337,-77.4410184665931,-1.73187385160849,790933.518420007,-13939.3833239868,-1.7318738516085,143433.518420007,-13939.3833239868,-8.85754991457338
"22",15,7e+05,647500,2.875,-0.125,-4.16666666666667,4432.69253247097,-38.8235883289935,-0.868242163958651,797884.655844775,-6988.24589921895,-0.868242163958665,150384.655844775,-6988.24589921895,-4.44056493956441
"23",15,7e+05,647500,3,0,0,4471.51612079997,0,0,804872.901743994,0,0,157372.901743994,0,0
"24",15,7e+05,647500,3.125,0.125,4.16666666666667,4510.54549737729,39.0293765773204,0.872844366942322,811898.189527912,7025.28778391762,0.872844366942317,164398.189527912,7025.28778391762,4.46410259076623
"25",15,7e+05,647500,3.25,0.25,8.33333333333333,4549.78027875623,78.2641579562669,1.7502823615509,818960.450176122,14087.5484321279,1.75028236155089,171460.450176122,14087.5484321279,8.95169897486215
"26",15,7e+05,647500,3.375,0.375,12.5,4589.22006808337,117.703947283399,2.63230510868296,826059.612255006,21186.7105110119,2.63230510868295,178559.612255006,21186.7105110119,13.4627437609795
"27",15,7e+05,647500,3.5,0.5,16.6666666666667,4628.86445519706,157.348334397097,3.5189034355745,833195.601935471,28322.7001914774,3.51890343557448,185695.601935471,28322.7001914774,17.9971900356462
"28",15,750000,693750,2.5,-0.5,-16.6666666666667,4625.85013749989,-165.05999192865,-3.44527422701495,832653.024749979,-29710.798547157,-3.44527422701495,138903.024749979,-29710.798547157,-17.6206185033832
"29",15,750000,693750,2.625,-0.375,-12.5,4666.78305721509,-124.127072213448,-2.59088709368576,840020.950298716,-22342.8729984206,-2.59088709368576,146270.950298716,-22342.8729984206,-13.2509141667747
"30",15,750000,693750,2.75,-0.25,-8.33333333333333,4707.9376096429,-82.9725197856351,-1.73187385160849,847428.769735722,-14935.0535614144,-1.73187385160849,153678.769735722,-14935.0535614144,-8.85754991457336
"31",15,750000,693750,2.875,-0.125,-4.16666666666667,4749.31342764747,-41.5967017810635,-0.86824216395863,854876.416976545,-7487.40632059146,-0.868242163958633,161126.416976545,-7487.40632059146,-4.44056493956426
"32",15,750000,693750,3,0,0,4790.91012942853,0,0,862363.823297136,0,0,168613.823297136,0,0
"33",15,750000,693750,3.125,0.125,4.16666666666667,4832.72731861852,41.8171891899865,0.872844366942331,869890.917351334,7527.09405419766,0.872844366942341,176140.917351334,7527.09405419766,4.46410259076635
"34",15,750000,693750,3.25,0.25,8.33333333333333,4874.76458438168,83.8544549531443,1.75028236155093,877457.625188702,15093.8018915659,1.75028236155092,183707.625188702,15093.8018915659,8.95169897486232
"35",15,750000,693750,3.375,0.375,12.5,4917.02150151789,126.111372089356,2.63230510868295,885063.87027322,22700.0469760842,2.63230510868296,191313.87027322,22700.0469760842,13.4627437609795
"36",15,750000,693750,3.5,0.5,16.6666666666667,4959.49763056828,168.587501139748,3.51890343557452,892709.573502291,30345.7502051548,3.51890343557453,198959.573502291,30345.7502051548,17.9971900356465
"37",15,8e+05,740000,2.5,-0.5,-16.6666666666667,4934.24014666654,-176.06399139056,-3.44527422701495,888163.226399978,-31691.5184503007,-3.44527422701494,148163.226399978,-31691.5184503007,-17.6206185033831
"38",15,8e+05,740000,2.625,-0.375,-12.5,4977.90192769609,-132.402210361011,-2.59088709368577,896022.346985297,-23832.3978649819,-2.59088709368576,156022.346985297,-23832.3978649819,-13.2509141667746
"39",15,8e+05,740000,2.75,-0.25,-8.33333333333333,5021.80011695243,-88.5040211046789,-1.73187385160852,903924.021051437,-15930.7237988421,-1.7318738516085,163924.021051437,-15930.7237988421,-8.8575499145734
"40",15,8e+05,740000,2.875,-0.125,-4.16666666666667,5065.93432282397,-44.3698152331353,-0.868242163958648,911868.178108314,-7986.56674196431,-0.868242163958643,171868.178108314,-7986.56674196431,-4.44056493956431
