SUB-UNIT UIC,SUB-UNIT NAME
DGBAA,2ND BN 39TH INF
DF2AA,3RD BN 5TH CAV
DFYAA,15TH ENG EN
DGDAA,4TH BN 39TH INF
DGCAA,3RD BN 39TH INF
DGBAA,2ND BN 39TH INF
D3KAA,H BTRY 29 ARTY
DGHAA,2ND BN 60TH INF
DGJAA,3RD BN 60TH INF
DGKAA,5TH BN 60TH INF
DGLAA,1ST BN 11THARTY
DGMAA,2ND BN 4TH ARTY
DGNAA,3RD BN 34THARTY
DGPAA,1ST BN 84THARTY
DGHAA,2ND BN 60TH INF
DGEAA,2ND BN 47TH INF
DGHAA,2ND BN 60TH INF
DGEAA,2ND BN 47TH INF
DGGAA,4TH BN 47TH INF
DGFAA,3RD BN 47TH INF
DGEAA,2ND BN 47TH INF
DGHAA,2ND BN 60TH INF
DGGAA,4TH BN 47TH INF
DGEAA,2ND BN 47TH INF
DFYAA,15TH ENG BN
DGBAA,2ND BN 39TH INF
DFYAA,15TH ENG BN
DGEAA,2ND BN 47TH INF
DGDAA,4TH BN 39TH INF
DGCAA,3RD BN 39TH INF
DGBAA,2ND BN 39TH INF
DFYAA,15TH ENG BN
DFWAA,9TH AVN BN
DGHAA,2ND BN 60TH INF
DGKAA,5TH BN 60TH INF
DGLAA,1ST BN 11THARTY
DGMAA,2ND BN 4TH ARTY
DGNAA,3RD BN 34THARTY
DGPAA,1ST BN 84THARTY
DGHAA,2ND BN 60TH INF
DFWAA,9TH AVN BN
DF2AA,3RD SQ 5TH CAV
DFYAA,15TH ENG EN
DFWAA,9TH AVN BN
DGDAA,4TH BN 39TH INF
DGBAA,2ND BN 39TH INF
DGHAA,2ND BN 60TH INF
DGGAA,4TH BN 47TH INF
DGFAA,3RD BN 47TH INF
DGEAA,2ND BN 47TH INF
DGDAA,4TH BN 39TH INF
DGKAA,5TH BN 60TH INF
DGLAA,1ST BN 11THARTY
DGMAA,2ND BN 4TH ARTY
DGNAA,3RD BN 34THARTY
DGPAA,1ST BN 84THARTY
D3KAA,H BTRY 29THARTY
DGKAA,5TH BN 60TH INF
DGJAA,3RD BN 60TH INF
DGHAA,2ND BN 60TH INF
DGGAA,4TH BN 47TH INF
DGFAA,3RD BN 47TH INF
DGDAA,4TH BN 39TH INF
DGCAA,3RD BN 39TH INF
DGBAA,2ND BN 39TH INF
DF2AA,3RD SQ 5TH CAV
DFYAA,15TH ENG EN
DFWAA,9TH AVN BN
ALZAA,25TH AVN BN
AMAAA,1ST BN 35TH INF
AMBAA,2ND BN 35TH INF
AMCAA,65TH EN BN
AMDAA,2ND BN 35TH INF
ASFAA,4TH BN 9TH INF
ASMAA,4TH BN 23RD INF
DD1AA,1ST BN 44THARTY
FQJAA,7TH BN 9TH ARTY
ALZAA,25TH AVN BN
ALVAA,2ND BN 14TH INF
ALTAA,3RD BN 13THARTY
ALSAA,7TH BN 11THARTY
ALQAA,1ST BN 8TH ARTY
ALNAA,3RD SQ 4TH CAV
ALTAA,3RD BN 13THARTY
ALUAA,1ST BN 14TH INF
ALVAA,2ND BN 14TH INF
ALZAA,25TH AVN BN
AL9AA,2ND BN 27TH INF
AMBAA,2ND BN 35TH INF
AMDAA,1ST BN 69 ARMOR
ALTAA,3RD BN 13THARTY
ALSAA,7TH BN 11THARTY
ALQAA,1ST BN 8TH ARTY
ALNAA,3RD SQ 4TH CAV
ASMAA,4TH BN 23RD INF
ASFAA,4TH BN 9TH INF
DD1AA,1ST BN 44THARTY
D3GAA,6TH BN 77THARTY
FQJAA,5TH BN 2ND ARTY
FK8AA,3RD BN 22ND INF
ALQAA,1ST BN 8TH ARTY
ALPAA,1ST BN 5TH INF
ALNAA,3RD SQ 4TH CAV
ALSAA,7TH BN 11THARTY
ALTAA,3RD BN 13THARTY
ALNAA,3RD SQ 4TH CAV
AKRAA,2ND BN 77 ARTY
AKPAA,IND BN 34 ARMOR
AKLAA,2ND BN 22ND INF
ALVAA,2ND BN 14TH INF
ALYAA,25TH MP CO
ALZAA,25 AVN BN
AL8AA,1ST BN 27TH INF
AL9AA,2ND BN 27TH INF
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
D3GAA,6TH BN77THARTY
ALSAA,7TH BN 11THARTY
ALTAA,3RD BN 13THARTY
ALSAA,7TH BN 11THARTY
ALQAA,1ST BN 8TH ARTY
ALPAA,1ST BN 5TH INF
ALVAA,2ND BN 14TH INF
ALZAA,25 AVN BN
AL8AA,1ST BN 27TH INF
AL9AA,2ND BN 27TH INF
ALPAA,1ST BN 5TH INF
ALNAA,3RD SQ 4TH CAV
AMEAA,125TH SIG BN
AMFAA,725TH MAINT BN
ALNAA,3RD SQ 4TH CAV
AKRAA,2ND BN 77 ARTY
AKPAA,IND BN 34 ARMOR
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
FK8AA,3RD BN 22ND INF
D3GAA,6TH BN 77THARTY
ASMAA,4TH BN 23RD INF
ASFAA,4TH BN 9TH INF
ALTAA,3RD BN 13THARTY
ALSAA,7TH BN 11THARTY
ALVAA,2ND BN 14TH INF
ALZAA,25TH AVN BN
AL0AA,HHC 1ST BDE
ALSAA,7TH BN 11THARTY
ALQAA,1ST BN 8TH ARTY
ALNAA,3RD SQ 4TH CAV
AKRAA,2ND BN 77THARTY
FK8AA,3RD BN 22ND INF
D3GAA,6TH BN77THARTY
ASMAA,4TH BN 23RD INF
ASFAA,4TH BN 9TH INF
D3GAA,6TH BN77THARTY
FK8AA,3RD BN 22ND INF
ASFAA,4TH BN 9TH INF
ASMAA,4TH BN 23RD INF
ASFAA,4TH BN 9TH INF
ASMAA,4TH BN 23RD INF
ASFAA,4TH BN 9TH INF
ALTAA,3RD BN 13THARTY
ALSAA,7TH BN 11THARTY
ALVAA,2ND BN 14TH INF
ALYAA,25TH MP CO
ALZAA,25 AVN BN
AL0AA,HHC 1ST BDE
AL8AA,1ST BN 27TH INF
AL9AA,2ND BN 27TH INF
ALSAA,7TH BN 11THARTY
ALQAA,1ST BN 8TH ARTY
AMCAA,65TH ENGR BN
ALQAA,1ST BN 8TH ARTY
AKGAA,2ND BN 12TH INF
ALQAA,1ST BN 8TH ARTY
AKGAA,2ND BN 12TH INF
ALQAA,1ST BN 8TH ARTY
AKGAA,2ND BN 12TH INF
ALQAA,1ST BN 8TH ARTY
ALNAA,3RD SQ 4TH CAV
AKRAA,2ND BN 77 ARTY
D3GAA,6TH BN77THARTY
FK8AA,3RD BN 22ND INF
D3GAA,6TH BN77THARTY
FK8AA,3RD BN 22ND INF
ALSAA,7TH BN 11THARTY
ALTAA,3RD BN 13THARTY
ALVAA,2ND BN 14TH INF
ALZAA,25 AVN BN
AL8AA,1ST BN 27TH INF
AL9AA,2ND BN 27TH INF
AMCAA,65TH ENGR BN
ALSAA,7TH BN 11THARTY
ALQAA,1ST BN 8TH ARTY
ALPAA,1ST BN 5TH INF
ALNAA,3RD SQ 4TH CAV
AKRAA,2ND BN 77 ARTY
AKPAA,IND BN 34 ARMOR
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
ASFAA,4TH BN 9TH INF
ASMAA,4TH BN 23RD INF
AKGAA,2ND BN 12TH INF
ASMAA,4TH BN 23RD INF
ALQAA,1ST BN 8TH ARTY
ALPAA,1ST BN 5TH INF
ALSAA,7TH BN 11THARTY
ALTAA,3RD BN 13THARTY
ALPAA,1ST BN 5TH INF
ALNAA,3RD SQ 4TH CAV
AKRAA,2ND BN 77 ARTY
AKPAA,IND BN 34 ARMOR
AKGAA,2ND BN 12TH INF
AKPAA,IND BN 34 ARMOR
ALZAA,25 AVN BN
AL8AA,1ST BN 27TH INF
AL9AA,2ND BN 27TH INF
AMCAA,65TH ENGR BN
AKPAA,IND BN 34 ARMOR
AKGAA,2ND BN 12TH INF
AKPAA,IND BN 34 ARMOR
AKLAA,2ND BN 22ND INF
D3GAA,6TH BN77THARTY
FK8AA,3RD BN 22ND INF
ASFAA,4TH BN 9TH INF
ASMAA,4TH BN 23RD INF
ASFAA,4TH BN 9TH INF
ALTAA,3RD BN 13THARTY
ALVAA,2ND BN 14TH INF
ALZAA,25 AVN BN
AL8AA,1ST BN 27TH INF
AL9AA,2ND BN 27TH INF
ALTAA,3RD BN 13THARTY
ALSAA,7TH BN 11THARTY
ALQAA,1ST BN 8TH ARTY
ALPAA,1ST BN 5TH INF
ALNAA,3RD SQ 4TH CAV
AKRAA,2ND BN 77 ARTY
AKPAA,IND BN 34 ARMOR
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
ASMAA,4TH BN 23RD INF
ASFAA,4TH BN 9TH INF
ASMAA,4TH BN 23RD INF
ASFAA,4TH BN 9TH INF
ALSAA,7TH BN 11THARTY
ALTAA,3RD BN 13THARTY
ALSAA,7TH BN 11THARTY
ALQAA,1ST BN 8TH ARTY
ALVAA,2ND BN 14TH INF
ALYAA,25TH MP CO
ALZAA,25TH AVN BN
AL8AA,1ST BN 27TH INF
AL9AA,2ND BN 27TH INF
AMCAA,65TH ENGR BN
ALQAA,1ST BN 8TH ARTY
ALPAA,1ST BN 5TH INF
ALNAA,3RD SQ 4TH CAV
AKRAA,2ND BN 77THARTY
AKPAA,IND BN 34 ARMOR
AKGAA,2ND BN 12TH INF
D3GAA,6TH BN77THARTY
FK8AA,3RD BN 22ND INF
D3GAA,6TH BN 77THARTY
ASFAA,4TH BN 9TH INF
ASMAA,4TH BN 23RD INF
ASFAA,4TH BN 9TH INF
ALQAA,1ST BN 8TH ARTY
ALPAA,1ST BN 5TH INF
ALNAA,3RD SQ 4TH CAV
AKRAA,2ND BN 77 ARTY
AKPAA,IND BN 34 ARMOR
ALSAA,7TH BN 11THARTY
ALTAA,3RD BN 13THARTY
ALVAA,2ND BN 14TH INF
ALZAA,25 AVN BN
AL8AA,1ST BN 27TH INF
AL9AA,2ND BN 27TH INF
AKPAA,IND BN 34 ARMOR
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
AMEAA,125TH SIG BN
AMFAA,725TH MAINT BN
AKGAA,2ND BN 12TH INF
ASFAA,4TH BN 9TH INF
ASMAA,4TH BN 23RD INF
ASFAA,4TH BN 9TH INF
FK8AA,3RD BN 22ND INF
ALQAA,1ST BN 8TH ARTY
ALPAA,1ST BN 5TH INF
ALNAA,3RD SQ 4TH CAV
AKRAA,2ND BN 77 ARTY
AKPAA,IND BN 34 ARMOR
AKLAA,2ND BN 22ND INF
ALSAA,7TH BN 11THARTY
ALTAA,3RD BN 13THARTY
AKLAA,2ND BN 22ND INF
AKGAA,2ND BN 12TH INF
ALVAA,2ND BN 14TH INF
ALZAA,25 AVN BN
AL8AA,1ST BN 27TH INF
AL9AA,2ND BN 27TH INF
AKGAA,2ND BN 12TH INF
ARV01,1ST AVN DET ARV
AGMAA,2ND BN 5TH CAV
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AGVAA,13TH SIGAL BN
AGZAA,15 SUPAND SUCBN
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG6AA,1ST BN 77THARTY
AG7AA,E BTRY 82 ARTY
AGMAA,2ND BN 5TH CAV
AGLAA,1ST BN 5TH CAV
AGHAA,HHC 3RD BDE
AGFAA,HHC 1ST ABE
AD3AA,1ST BN 50TH INF
AAGAA,11TH SPT AVN CO
AAVAA,227 ASLT HEL BN
AAGAA,11TH SPT AVN CO
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAWAA,228TH AVN BN
AAVAA,227 ASLT HEL BN
DMPAA,5TH BN 7TH CAV
AGMAA,2ND BN 5TH CAV
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGQAA,8TH ENG BN
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG6AA,1ST BN 77THARTY
AGMAA,2ND BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGLAA,1ST BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGMAA,2ND BN 5TH CAV
AGLAA,1ST BN 5TH CAV
C01AA,2ND BN 12TH CAV
CYPAA,12TH AVN GP
C01AA,2ND BN 12TH CAV
A2FAA,2ND BN 17THARTY
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
C01AA,2ND BN 12TH CAV
A84AA,184TH CML PLT
C01AA,2ND BN 12TH CAV
ARV01,1ST AVN DET ARV
ARV03,DIV TNG CENTER
ARV01,1ST AVN DET ARV
ARV03,DIV TNG CENTER
ARV01,1ST AVN DET ARV
AGMAA,2ND BN 5TH CAV
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGQAA,8TH ENG BN
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG6AA,1ST BN 77THARTY
AGMAA,2ND BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGLAA,1ST BN 5TH CAV
AGHAA,HHC 3RD BDE
AD3AA,1ST BN 50TH INF
AGLAA,1ST BN 5TH CAV
AGMAA,2ND BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGMAA,2ND BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGMAA,2ND BN 5TH CAV
AGLAA,1ST BN 5TH CAV
AGMAA,2ND BN 5TH CAV
AGLAA,1ST BN 5TH CAV
AAXAA,229 ASLT HEL BN
AAWAA,228TH AVN BN
AAVAA,227 ASLT HEL BN
DMPAA,5TH BN 7TH CAV
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGQAA,8TH ENG BN
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AGVAA,13TH SIGAL BN
AGZAA,15 SUPAND SUCBN
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG6AA,1ST BN 77THARTY
AG7AA,E BTRY 82 ARTY
AGNAA,2ND BN 7TH CAV
AGMAA,2ND BN 5TH CAV
AGLAA,1ST BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGLAA,1ST BN 5TH CAV
AGFAA,HHC 1ST ABE
AGEAA,DIV TRNG CENTER
AD3AA,1ST BN 50TH INF
AGLAA,1ST BN 5TH CAV
C01AA,2ND BN 12TH CAV
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
DMPAA,5TH BN 7TH CAV
C01AA,2ND BN 12TH CAV
CYPAA,12TH AVN GP HHC
ARV01,1ST AVN DET ARV
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGQAA,8TH ENG BN
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG6AA,1ST BN 77THARTY
AGNAA,2ND BN 7TH CAV
AD3AA,1ST BN 50TH INF
AGNAA,2ND BN 7TH CAV
AGMAA,2ND BN 5TH CAV
AGNAA,2ND BN 7TH CAV
AGMAA,2ND BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGMAA,2ND BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGMAA,2ND BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGMAA,2ND BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGEAA,HHC
AD3AA,1ST BN 50TH INF
AGMAA,2ND BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGMAA,2ND BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGMAA,2ND BN 5TH CAV
AGLAA,1ST BN 5TH CAV
AGHAA,HHC 3RD BDE
AD3AA,1ST BN 50TH INF
AGHAA,HHC 3RD BDE
AGEAA,HHC
AD3AA,1ST BN 50TH INF
AGEAA,HHC
AD3AA,1ST BN 50TH INF
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGQAA,8TH ENG BN
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AGVAA,13TH SIGAL BN
AGZAA,15 SUPAND SUCBN
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG6AA,1ST BN 77THARTY
AG7AA,E BTRY 82 ARTY
AGNAA,2ND BN 7TH CAV
AGMAA,2ND BN 5TH CAV
AGLAA,1ST BN 5TH CAV
AGEAA,DIV TRNG CENTER
AGFAA,HHC 1ST ABE
AGEAA,DIV TRNG CENTER
AGLAA,1ST BN 5TH CAV
AGFAA,HHC 1ST ABE
AGLAA,1ST BN 5TH CAV
DMPAA,5TH BN 7TH CAV
C01AA,2ND BN 12TH CAV
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
DMPAA,5TH BN 7TH CAV
C01AA,2ND BN 12TH CAV
ARV01,1ST AVN DET ARV
AD3AA,1ST BN 50TH INF
AGEAA,DIV TRNG CENTER
AGHAA,HHC 3RD BDE
AGLAA,1ST BN 5TH CAV
AGMAA,2ND BN 5TH CAV
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGQAA,8TH ENG BN
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG6AA,1ST BN 77THARTY
AD3AA,1ST BN 50TH INF
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AD3AA,1ST BN 50TH INF
AAVAA,227 ASLT HEL BN
G39AA,E CO 52ND INF
DMPAA,5TH BN 7TH CAV
C01AA,2ND BN 12TH CAV
AAVAA,227 ASLT HEL BN
AAGAA,11TH SPT AVN CO
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAWAA,228TH AVN BN
AAVAA,227 ASLT HEL BN
DMPAA,5TH BN 7TH CAV
C01AA,2ND BN 12TH CAV
A2FAA,2ND BN 17 ARTY
C01AA,2ND BN 12TH CAV
ARV01,1ST AVN DET ARV
DMPAA,5TH BN 7TH CAV
C01AA,2ND BN 12TH CAV
A2FAA,2ND BN 17THARTY
AAGAA,11TH SPT AVN CO
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG6AA,1ST BN 77THARTY
AGNAA,2ND BN 7TH CAV
AGMAA,2ND BN 5TH CAV
AD3AA,1ST BN 50TH INF
AGMAA,2ND BN 5TH CAV
AGLAA,1ST BN 5TH CAV
AGHAA,HHC 3RD BDE
AD3AA,1ST BN 50TH INF
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AGMAA,2ND BN 5TH CAV
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGQAA,8TH ENG BN
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AGVAA,13TH SIGAL BN
AGZAA,15 SUPAND SUCBN
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG5AA,27TH MAINT BN
AG6AA,1ST BN 77THARTY
AG7AA,E BTRY 82 ARTY
AG8AA,545TH MP CO
AGMAA,2ND BN 5TH CAV
AGLAA,1ST BN 5TH CAV
AGHAA,HHC 3RD BDE
AD3AA,1ST BN 50TH INF
AGHAA,HHC 3RD BDE
AGFAA,HHC 1ST ABE
AD3AA,1ST BN 50TH INF
G39AA,E CO 52ND INF
AAVAA,227 ASLT HEL BN
AAGAA,11TH SPT AVN CO
AAVAA,227 ASLT HEL BN
G39AA,E CO 52ND INF
AAWAA,228TH AVN BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAWAA,228TH AVN BN
DMPAA,5TH BN 7TH CAV
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AAXAA,229 ASLT HEL BN
AD3AA,1ST BN 50TH INF
AGEAA,HHC
AGHAA,HHC 3RD BDE
AGLAA,1ST BN 5TH CAV
AGMAA,2ND BN 5TH CAV
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG6AA,1ST BN 77THARTY
AAXAA,229 ASLT HEL BN
DMPAA,5TH BN 7TH CAV
C01AA,2ND BN 12TH CAV
CYPAA,12TH AVN GP HHC
C01AA,2ND BN 12TH CAV
ARV01,1ST AVN DET PRV
AGMAA,2ND BN 5TH CAV
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGQAA,8TH ENG BN
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG6AA,1ST BN 77THARTY
AG8AA,545TH MP CO
ARV01,1ST AVN DET
A2FAA,2ND BN 17THARTY
C01AA,2ND BN 12TH CAV
DMPAA,5TH BN 7TH CAV
AGMAA,2ND BN 5TH CAV
AGLAA,1ST BN 5TH CAV
AAXAA,229 ASLT HEL BN
AAWAA,228 ASLT HEL BN
AAVAA,227 ASLT HEL BN
C01AA,2ND BN 12TH CAV
A2FAA,2ND BN 17 ARTY
C01AA,2ND BN 12TH CAV
A2FAA,2ND BN 17 ARTY
C01AA,2ND BN 12TH CAV
A2FAA,2ND BN 17 ARTY
C01AA,2ND BN 12TH CAV
A2FAA,2ND BN 17 ARTY
C01AA,2ND BN 12TH CAV
AGLAA,1ST BN 5TH CAV
AGMAA,2ND BN 5TH CAV
AGNAA,2ND BN 7TH CAV
AGPAA,1ST BN 7TH CAV
AGRAA,2ND BN 8TH AIRB
AGSAA,1ST BN 8TH AIRB
AGTAA,1ST SQ 9TH CAV
AGUAA,1ST BN 12THAIRB
AG2AA,2ND BN 19THARTY
AG3AA,2ND BN 20AERRKT
AG4AA,1ST BN 21STARTY
AG6AA,1ST BN 77THARTY
AG8AA,545 MP CO
AGLAA,1ST BN 5TH CAV
AAVAA,227 ASLT HEL BN
AGLAA,1ST BN 5TH CAV
AGHAA,HHC 3RD BDE
AGLAA,1ST BN 5TH CAV
AGHAA,HHC 3RD BDE
AGLAA,1ST BN 5TH CAV
AGHAA,HHC 3RD BDE
AAXAA,229 ASLT HEL BN
AAVAA,227 ASLT HEL BN
AY6T3,3RD SQ
AY6T2,2ND SQ
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T3,3RD SQ
AY6AB,AIR CAV TRP
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T3,3RD SQ
AY6T2,2ND SQ
AY6T1,1ST SQ
AY6T2,2ND SQ
AY6T3,3RD SQ
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T1,1ST SQ
AY6T2,2ND SQ
AY6T3,3RD SQ
AY6AB,AIR CAV TRP
AY6T1,1ST SQ
AY6T2,2ND SQ
AY6T3,3RD SQ
AY6AB,AIR CAV TRP
AY6T2,2ND SQ
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T2,2ND SQ
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T3,3RD SQ
AY6T2,2ND SQ
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T1,1ST SQ
AY6T2,2ND SQ
AY6T1,1ST SQ
AY6T2,2ND SQ
AY6T3,3RD SQ
AY6T2,2ND SQ
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T3,3RD SQ
AY6T2,2ND SQ
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T1,1ST SQ
AY6T2,2ND SQ
AY6T3,3RD SQ
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T3,3RD SQ
AY6T2,2ND SQ
AY6AB,AIR CAV TRP
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T2,2ND SQ
AY6T1,1ST SQ
AY6T3,3RD SQ
AY6AB,AIR CAV TRP
AY6T1,1ST SQ
AY6AB,AIR CAV TRP
AY6T1,1ST SQ
AY6T3,3RD SQ
AY6T2,2ND SQ
AY6T1,1ST SQ
GZCAA,3RD BN 506 INF
ACGAA,1ST BN 327 INF
ACHAA,2ND BN 327 INF
ACMAA,1ST BN 501 INF
ACNAA,2ND BN 501 INF
ACPAA,1ST BN 502 INF
ACQAA,2ND BN 502 INF
ACRAA,1ST BN 506THINF
ACSAA,2ND 506TH INF
ACGAA,1ST BN 327 INF
ACDAA,1ST BN 321 ARTY
ACCAA,2ND BN 320 ARTY
ACBAA,2ND BN 319 ARTY
AB0AA,2ND SQ 17TH CAV
ACBAA,2ND BN 319 ARTY
AB3AA,101ST AVN BN
AB0AA,2ND SQ 17TH CAV
