"","Term","Home Value","Principle","Annual Interest Rate","Change in Annual Interest Rate","% Change in Annual Interest Rate","Monthly Payment","Change in Monthly Payment","% Change in Monthly Payment","Total Amount Paid","Change in Total Amount Paid","% Change in Total Amount Paid","Total Interest","Change in Total Interest","% Change in Total Interest"
"1",15,5e+05,412500,2.5,-0.5,-16.6666666666667,2750.50548716209,-98.1437789846022,-3.44527422701494,495090.987689177,-17665.8802172284,-3.44527422701494,82590.9876891769,-17665.8802172284,-17.6206185033831
"2",15,5e+05,412500,2.625,-0.375,-12.5,2774.84397996573,-73.8052861809688,-2.59088709368576,499471.916393831,-13284.9515125744,-2.59088709368576,86971.916393831,-13284.9515125744,-13.2509141667746
"3",15,5e+05,412500,2.75,-0.25,-8.33333333333333,2799.31425438226,-49.3350117644318,-1.73187385160849,503876.565788808,-8880.30211759766,-1.73187385160848,91376.5657888077,-8880.30211759766,-8.85754991457329
"4",15,5e+05,412500,2.875,-0.125,-4.16666666666667,2823.91609211471,-24.7331740319837,-0.86824216395863,508304.896580648,-4451.9713257571,-0.868242163958636,95804.8965806483,-4451.9713257571,-4.44056493956427
"5",15,5e+05,412500,3,0,0,2848.6492661467,0,0,512756.867906405,0,0,100256.867906405,0,0
"6",15,5e+05,412500,3.125,0.125,4.16666666666667,2873.5135408002,24.8642746535052,0.872844366942319,517232.437344036,4475.56943763094,0.872844366942322,104732.437344036,4475.56943763094,4.46410259076625
"7",15,5e+05,412500,3.25,0.25,8.33333333333333,2898.50867179451,49.859405647815,1.75028236155091,521731.560923012,8974.69301660673,1.75028236155091,109231.560923012,8974.69301660673,8.95169897486229
"8",15,5e+05,412500,3.375,0.375,12.5,2923.63440630794,74.9851401612386,2.63230510868294,526254.193135428,13497.3252290229,2.63230510868293,113754.193135428,13497.3252290229,13.4627437609793
"9",15,5e+05,412500,3.5,0.5,16.6666666666667,2948.8904830406,100.241216893904,3.51890343557451,530800.286947308,18043.4190409028,3.51890343557451,118300.286947308,18043.4190409028,17.9971900356464
"10",15,6e+05,495000,2.5,-0.5,-16.6666666666667,3300.60658459451,-117.772534781523,-3.44527422701495,594109.185227012,-21199.0562606743,-3.44527422701496,99109.1852270123,-21199.0562606743,-17.6206185033832
"11",15,6e+05,495000,2.625,-0.375,-12.5,3329.81277595887,-88.5663434171629,-2.59088709368577,599366.299672597,-15941.9418150894,-2.59088709368579,104366.299672597,-15941.9418150894,-13.2509141667748
"12",15,6e+05,495000,2.75,-0.25,-8.33333333333333,3359.17710525872,-59.2020141173184,-1.7318738516085,604651.878946569,-10656.3625411174,-1.7318738516085,109651.878946569,-10656.3625411174,-8.85754991457341
"13",15,6e+05,495000,2.875,-0.125,-4.16666666666667,3388.69931053765,-29.6798088383812,-0.868242163958651,609965.875896778,-5342.36559090868,-0.868242163958662,114965.875896778,-5342.36559090868,-4.4405649395644
"14",15,6e+05,495000,3,0,0,3418.37911937604,0,0,615308.241487687,0,0,120308.241487687,0,0
"15",15,6e+05,495000,3.125,0.125,4.16666666666667,3448.21624896024,29.8371295842062,0.872844366942319,620678.924812844,5370.68332515704,0.872844366942306,125678.924812844,5370.68332515704,4.46410259076617
"16",15,6e+05,495000,3.25,0.25,8.33333333333333,3478.21040615341,59.831286777378,1.75028236155091,626077.873107614,10769.6316199279,1.75028236155089,131077.873107614,10769.6316199279,8.95169897486217
"17",15,6e+05,495000,3.375,0.375,12.5,3508.36128756952,89.9821681934864,2.63230510868294,631505.031762514,16196.7902748274,2.63230510868292,136505.031762514,16196.7902748274,13.4627437609793
"18",15,6e+05,495000,3.5,0.5,16.6666666666667,3538.66857964872,120.289460272685,3.5189034355745,636960.34433677,21652.1028490831,3.51890343557448,141960.34433677,21652.1028490831,17.9971900356462
"19",15,7e+05,577500,2.5,-0.5,-16.6666666666667,3850.70768202693,-137.401290578443,-3.44527422701494,693127.382764848,-24732.2323041197,-3.44527422701493,115627.382764848,-24732.2323041197,-17.6206185033831
"20",15,7e+05,577500,2.625,-0.375,-12.5,3884.78157195202,-103.327400653357,-2.59088709368576,699260.682951363,-18598.9321176041,-2.59088709368575,121760.682951363,-18598.9321176041,-13.2509141667746
"21",15,7e+05,577500,2.75,-0.25,-8.33333333333333,3919.03995613517,-69.069016470205,-1.7318738516085,705427.192104331,-12432.4229646369,-1.73187385160851,127927.192104331,-12432.4229646369,-8.85754991457344
"22",15,7e+05,577500,2.875,-0.125,-4.16666666666667,3953.4825289606,-34.6264436447782,-0.868242163958655,711626.855212908,-6232.75985605991,-0.868242163958633,134126.855212908,-6232.75985605991,-4.44056493956425
"23",15,7e+05,577500,3,0,0,3988.10897260538,0,0,717859.615068967,0,0,140359.615068967,0,0
"24",15,7e+05,577500,3.125,0.125,4.16666666666667,4022.91895712028,34.8099845149072,0.872844366942319,724125.412281651,6265.79721268336,0.872844366942328,146625.412281651,6265.79721268336,4.46410259076629
"25",15,7e+05,577500,3.25,0.25,8.33333333333333,4057.91214051232,69.8031679069413,1.75028236155092,730424.185292217,12564.5702232495,1.75028236155092,152924.185292217,12564.5702232495,8.95169897486235
"26",15,7e+05,577500,3.375,0.375,12.5,4093.08816883111,104.979196225735,2.63230510868295,736755.8703896,18896.2553206322,2.63230510868296,159255.8703896,18896.2553206322,13.4627437609795
"27",15,7e+05,577500,3.5,0.5,16.6666666666667,4128.44667625684,140.337703651466,3.51890343557451,743120.401726231,25260.7866572639,3.51890343557451,165620.401726231,25260.7866572639,17.9971900356464
