"","Term","Home Value","Principle","Annual Interest Rate","Change in Annual Interest Rate","% Change in Annual Interest Rate","Monthly Payment","Change in Monthly Payment","% Change in Monthly Payment","Total Amount Paid","Change in Total Amount Paid","% Change in Total Amount Paid","Total Interest","Change in Total Interest","% Change in Total Interest"
"1",15,5e+05,437500,2.5,-0.5,-16.6666666666667,2917.20278941434,-104.091886801852,-3.44527422701496,525096.502094581,-18736.5396243333,-3.44527422701496,87596.5020945815,-18736.5396243333,-17.6206185033832
"2",15,5e+05,437500,2.625,-0.375,-12.5,2943.01634238789,-78.2783338283002,-2.59088709368576,529742.941629821,-14090.100089094,-2.59088709368575,92242.9416298207,-14090.100089094,-13.2509141667746
"3",15,5e+05,437500,2.75,-0.25,-8.33333333333333,2968.96966373877,-52.3250124774281,-1.73187385160851,534414.539472978,-9418.50224593712,-1.73187385160852,96914.5394729776,-9418.50224593712,-8.85754991457349
"4",15,5e+05,437500,2.875,-0.125,-4.16666666666667,2995.06252193985,-26.232154276347,-0.868242163958653,539111.253949172,-4721.78776974243,-0.868242163958645,101611.253949172,-4721.78776974243,-4.44056493956432
"5",15,5e+05,437500,3,0,0,3021.29467621619,0,0,543833.041718915,0,0,106333.041718915,0,0
"6",15,5e+05,437500,3.125,0.125,4.16666666666667,3047.66587660627,26.371200390081,0.87284436694231,548579.857789129,4746.81607021461,0.872844366942318,111079.857789129,4746.81607021461,4.46410259076623
"7",15,5e+05,437500,3.25,0.25,8.33333333333333,3074.17586402448,52.8811878082888,1.75028236155091,553351.655524407,9518.61380549206,1.75028236155093,115851.655524407,9518.61380549206,8.95169897486236
"8",15,5e+05,437500,3.375,0.375,12.5,3100.8243703266,79.5296941104048,2.63230510868295,558148.386658788,14315.3449398729,2.63230510868295,120648.386658788,14315.3449398729,13.4627437609794
"9",15,5e+05,437500,3.5,0.5,16.6666666666667,3127.61111837639,106.316442160201,3.51890343557451,562970.001307751,19136.9595888363,3.51890343557452,125470.001307751,19136.9595888363,17.9971900356464
"10",15,6e+05,525000,2.5,-0.5,-16.6666666666667,3500.64334729721,-124.910264162222,-3.44527422701495,630115.802513498,-22483.8475491999,-3.44527422701496,105115.802513498,-22483.8475491999,-17.6206185033832
"11",15,6e+05,525000,2.625,-0.375,-12.5,3531.61961086547,-93.9340005939607,-2.59088709368577,635691.529955785,-16908.120106913,-2.59088709368578,110691.529955785,-16908.120106913,-13.2509141667748
"12",15,6e+05,525000,2.75,-0.25,-8.33333333333333,3562.76359648652,-62.7900149729135,-1.7318738516085,641297.447367573,-11302.2026951244,-1.7318738516085,116297.447367573,-11302.2026951244,-8.85754991457339
"13",15,6e+05,525000,2.875,-0.125,-4.16666666666667,3594.07502632782,-31.4785851316165,-0.868242163958653,646933.504739007,-5666.14532369107,-0.86824216395867,121933.504739007,-5666.14532369107,-4.44056493956444
"14",15,6e+05,525000,3,0,0,3625.55361145943,0,0,652599.650062698,0,0,127599.650062698,0,0
"15",15,6e+05,525000,3.125,0.125,4.16666666666667,3657.19905192753,31.6454404680976,0.872844366942323,658295.829346955,5696.17928425747,0.872844366942307,133295.829346955,5696.17928425747,4.46410259076617
"16",15,6e+05,525000,3.25,0.25,8.33333333333333,3689.01103682938,63.4574253699466,1.75028236155091,664021.986629288,11422.3365665904,1.75028236155091,139021.986629288,11422.3365665904,8.95169897486226
"17",15,6e+05,525000,3.375,0.375,12.5,3720.98924439192,95.435632932486,2.63230510868295,669778.063990545,17178.4139278474,2.63230510868294,144778.063990545,17178.4139278474,13.4627437609794
"18",15,6e+05,525000,3.5,0.5,16.6666666666667,3753.13334205167,127.579730592241,3.51890343557449,675564.001569301,22964.3515066033,3.51890343557448,150564.001569301,22964.3515066033,17.9971900356462
"19",15,7e+05,612500,2.5,-0.5,-16.6666666666667,4084.08390518008,-145.728641522591,-3.44527422701494,735135.102932414,-26231.1554740664,-3.44527422701493,122635.102932414,-26231.1554740664,-17.6206185033831
"20",15,7e+05,612500,2.625,-0.375,-12.5,4120.22287934305,-109.58966735962,-2.59088709368575,741640.118281749,-19726.1401247316,-2.59088709368575,129140.118281749,-19726.1401247316,-13.2509141667746
"21",15,7e+05,612500,2.75,-0.25,-8.33333333333333,4156.55752923427,-73.2550174683993,-1.7318738516085,748180.355262169,-13185.9031443119,-1.7318738516085,135680.355262169,-13185.9031443119,-8.85754991457341
"22",15,7e+05,612500,2.875,-0.125,-4.16666666666667,4193.08753071578,-36.7250159868854,-0.868242163958642,754755.755528841,-6610.50287763937,-0.868242163958642,142255.755528841,-6610.50287763937,-4.4405649395643
"23",15,7e+05,612500,3,0,0,4229.81254670267,0,0,761366.258406481,0,0,148866.258406481,0,0
"24",15,7e+05,612500,3.125,0.125,4.16666666666667,4266.73222724878,36.9196805461133,0.87284436694231,768011.800904781,6645.54249830043,0.872844366942315,155511.800904781,6645.54249830043,4.46410259076622
"25",15,7e+05,612500,3.25,0.25,8.33333333333333,4303.84620963427,74.0336629316043,1.75028236155091,774692.317734169,13326.0593276888,1.75028236155091,162192.317734169,13326.0593276888,8.95169897486228
"26",15,7e+05,612500,3.375,0.375,12.5,4341.15411845724,111.341571754567,2.63230510868295,781407.741322303,20041.4829158221,2.63230510868296,168907.741322303,20041.4829158221,13.4627437609795
"27",15,7e+05,612500,3.5,0.5,16.6666666666667,4378.65556572695,148.843019024282,3.5189034355745,788158.001830851,26791.7434243708,3.51890343557451,175658.001830851,26791.7434243708,17.9971900356464
"28",15,750000,656250,2.5,-0.5,-16.6666666666667,4375.80418412151,-156.137830202776,-3.44527422701493,787644.753141872,-28104.8094364998,-3.44527422701495,131394.753141872,-28104.8094364998,-17.6206185033832
"29",15,750000,656250,2.625,-0.375,-12.5,4414.52451358184,-117.417500742451,-2.59088709368577,794614.412444731,-21135.1501336412,-2.59088709368577,138364.412444731,-21135.1501336412,-13.2509141667747
"30",15,750000,656250,2.75,-0.25,-8.33333333333333,4453.45449560815,-78.4875187161415,-1.73187385160849,801621.809209467,-14127.7533689055,-1.7318738516085,145371.809209467,-14127.7533689055,-8.85754991457337
"31",15,750000,656250,2.875,-0.125,-4.16666666666667,4492.59378290977,-39.3482314145203,-0.868242163958648,808666.880923758,-7082.6816546137,-0.868242163958652,152416.880923758,-7082.6816546137,-4.44056493956435
"32",15,750000,656250,3,0,0,4531.94201432429,0,0,815749.562578372,0,0,159499.562578372,0,0
